country,gauge_id
United States of America,hysets_06813000
United States of America,hysets_07222500
United States of America,camels_08194200
United States of America,hysets_04159500
United States of America,hysets_11375815
United States of America,hysets_04293500
United States of America,hysets_06463500
United States of America,hysets_08179000
United States of America,hysets_03303000
United States of America,hysets_05061500
United States of America,hysets_09401110
United States of America,hysets_05299800
United States of America,hysets_12100496
United States of America,hysets_02197830
United States of America,hysets_05591200
United States of America,hysets_03341315
United States of America,hysets_12100490
United States of America,hysets_08284100
United States of America,hysets_07074000
United States of America,hysets_08194200
United States of America,hysets_08324000
United States of America,camels_08324000
United States of America,hysets_11140000
United States of America,hysets_03362500
United States of America,hysets_03289500
United States of America,hysets_10251218
United States of America,hysets_13010065
United States of America,hysets_08166140
United States of America,hysets_03314000
United States of America,hysets_12113350
United States of America,hysets_05497150
United States of America,hysets_02373000
United States of America,hysets_03321060
United States of America,hysets_05594800
United States of America,camels_04074950
United States of America,hysets_01576754
United States of America,hysets_05383075
United States of America,camels_01667500
United States of America,hysets_01671025
United States of America,hysets_02369000
United States of America,hysets_01198125
United States of America,hysets_01667500
United States of America,hysets_02204520
United States of America,hysets_06307600
United States of America,hysets_01570000
United States of America,hysets_09486800
United States of America,hysets_03380500
United States of America,hysets_04074950
United States of America,hysets_12447600
United States of America,hysets_03139000
United States of America,hysets_04067958
United States of America,camels_02016000
United States of America,hysets_05502500
United States of America,hysets_02016000
United States of America,hysets_03157500
United States of America,hysets_04176000
United States of America,hysets_08174600
United States of America,hysets_04159492
United States of America,hysets_05293000
United States of America,hysets_09249750
United States of America,camels_08101000
United States of America,camels_04059500
United States of America,hysets_03114500
United States of America,hysets_07047882
United States of America,hysets_05487470
United States of America,hysets_01021500
United States of America,hysets_06466500
United States of America,hysets_09484600
United States of America,hysets_08101000
United States of America,hysets_04059500
United States of America,hysets_06917560
United States of America,hysets_01505810
United States of America,hysets_03155500
United States of America,hysets_06294940
United States of America,hysets_02200120
United States of America,hysets_02204500
United States of America,hysets_05054500
United States of America,hysets_06881200
United States of America,hysets_05524500
United States of America,hysets_06307717
United States of America,hysets_14308000
United States of America,hysets_06442000
United States of America,hysets_08131190
United States of America,hysets_05542000
United States of America,camels_03604000
United States of America,hysets_02342070
United States of America,camels_05466500
United States of America,camels_13023000
United States of America,hysets_03604000
United States of America,hysets_08405150
United States of America,hysets_09242500
United States of America,hysets_02412000
United States of America,hysets_13023000
United States of America,hysets_07185765
United States of America,camels_05525500
United States of America,camels_13235000
United States of America,hysets_13235000
United States of America,hysets_05525500
United States of America,hysets_06294690
United States of America,camels_02479300
United States of America,camels_12040500
United States of America,hysets_06442500
United States of America,hysets_06844900
United States of America,hysets_02048000
United States of America,hysets_03198550
United States of America,hysets_02479300
United States of America,hysets_12040500
United States of America,hysets_05466500
United States of America,hysets_04275500
United States of America,hysets_05497000
